Species	baseMean	log2FoldChange
Clostridium_scindens	0.201148997	0.744072919
Clostridium_scindens	3.084422219	0.110194283
Enterocloster_clostridioformis	0.492434677	1.007727601
Enterocloster_clostridioformis	0.845238912	-0.761087026
Dorea_sp52	0.847435613	-0.067154386
Clostridium_scindens	0.079915043	0.515712683
Clostridioides_difficile	2.519762398	0.818726987
Anaerotruncus_spG3	13.72945107	0.492124889
Enterocloster_clostridioformis	16.06639953	-0.120672585
Enterocloster_clostridioformis	27.19699975	-0.292129537
Enterocloster_clostridioformis	1.260894548	-1.579629831
Schaedlerella_arabinosiphila	0.109134394	0.196707974
Anaerostipes_faecis	0.716355687	0.44837107
Enterocloster_clostridioformis	0.452249923	0.6083304
Coprobacillus_cateniformis	2.216683309	0.966128092
Enterocloster_clostridioformis	1.828667777	0.369493636
Clostridium_scindens	0.107164387	0.455408924
Schaedlerella_arabinosiphila	55.43809939	0.652477184
Enterocloster_clostridioformis	48.0735753	0.011524004
Coprobacillus_cateniformis	87.95983706	0.35293755
Schaedlerella_arabinosiphila	54.38198341	-0.76077184
Enterocloster_clostridioformis	1.878831576	-1.039351298
Schaedlerella_arabinosiphila	1.235703375	0.152585294
Enterocloster_clostridioformis	19.22041753	-0.5371207
Enterocloster_lavalensis	0.619270182	0.247495874
Schaedlerella_arabinosiphila	0.781526937	0.018694051
Enterocloster_clostridioformis	4.683922734	-0.914062068
Enterocloster_clostridioformis	1.226396194	-4.119159482
Enterocloster_clostridioformis	82.63555153	-0.532805049
Enterocloster_clostridioformis	9.944548978	-7.156528951
Enterocloster_clostridioformis	0.244479439	-0.257681855
Dysosmobacter_welbionis	6.550683255	5.809220549
Anaerostipes_faecis	0.131440615	-0.052384937
Enterocloster_aldenensis	9.809173941	1.453534971
Coprobacillus_cateniformis	18.09458461	0.382991011
Enterocloster_clostridioformis	7.834146246	-0.297358671
Enterocloster_clostridioformis	0.34291003	-0.910886661
Coprobacillus_cateniformis	2.087947812	-0.284759878
Coprobacillus_cateniformis	4.779418181	-0.173245585
Coprobacillus_cateniformis	72.42824191	0.14716712
Blautia_pseudococcoides	9.832786919	0.110310923
Schaedlerella_arabinosiphila	1.558471477	1.159183168
Enterocloster_clostridioformis	1.473968387	0.60270053
Dorea_sp52	18.04141496	0.115111892
Clostridium_scindens	12.93917231	0.913176085
Enterocloster_clostridioformis	0.21601251	-0.146287942
Enterocloster_clostridioformis	0.27085232	0.551490234
Escherichia_coli	0.832952196	1.473592536
Schaedlerella_arabinosiphila	108.0202242	0.732145546
Escherichia_coli	1.373070606	2.511648324
Enterocloster_clostridioformis	11.94973064	-0.517280856
Clostridium_scindens	1.221647509	0.957989847
Schaedlerella_arabinosiphila	5.377012569	0.486289182
Enterocloster_bolteae	1.395281282	0.716466648
Clostridioides_difficile	0.812320751	1.104156923
Dysosmobacter_welbionis	0.173095245	-1.719458977
Enterocloster_clostridioformis	1.616213433	-0.652416252
Blautia_pseudococcoides	0.597642098	0.691750899
Schaedlerella_arabinosiphila	9.455147999	1.477704514
Enterocloster_clostridioformis	7.332338466	0.063788335
Dorea_sp52	10.70777693	0.696776215
Dorea_sp52	0.357449711	-1.032217154
Eisenbergiella_porci	0.123922401	-1.495157554
Eisenbergiella_massiliensis	0.543217105	-2.456745085
Enterocloster_clostridioformis	10.87860915	-0.405930282
Schaedlerella_arabinosiphila	0.22893281	0.307886649
Clostridioides_difficile	1.458333246	0.776109232
Enterocloster_clostridioformis	4.953017879	0.204070431
Enterocloster_clostridioformis	0.657328307	0.606593702
Enterocloster_clostridioformis	0.497114167	-0.98449833
Enterocloster_clostridioformis	1.363734516	-1.185216903
Lactococcus_lactis	0.130249261	0.88088461
Schaedlerella_arabinosiphila	1.298424797	0.034269439
Clostridioides_difficile	9.307343179	-0.672722543
Enterocloster_clostridioformis	13.81562638	-0.228226145
Enterocloster_clostridioformis	3.449039754	-0.07021948
Enterocloster_clostridioformis	20.08080374	-0.441925266
Anaerotruncus_spG3	0.383253929	0.784285614
Blautia_pseudococcoides	20.57363564	-0.335978233
Schaedlerella_arabinosiphila	6.830906552	0.364987613
Dysosmobacter_welbionis	0.207163891	-1.910756663
Clostridium_scindens	1.267346714	0.827931948
Enterocloster_clostridioformis	16.97790303	-0.130041195
Dysosmobacter_welbionis	0.238790712	-2.067351831
Hominisplanchenecus_murintestinalis	0.444048546	-1.937248083
Enterocloster_clostridioformis	4.444692618	1.839238295
Clostridium_scindens	0.079915043	0.515712683
Schaedlerella_arabinosiphila	13.22140286	0.417321127
Lactococcus_lactis	0.330457074	-1.681986245
Clostridium_spMD294	4.470609615	-0.286151216
Dysosmobacter_welbionis	0.457111871	-2.361370029
Anaerostipes_faecis	0.098592673	0.114099303
Schaedlerella_arabinosiphila	40.10168478	0.751396424
Enterocloster_clostridioformis	20.48410428	0.08397205
Acutalibacter_muris	5.596883135	1.552384772
Extibacter_muris	0.525158659	-2.643716503
Enterocloster_clostridioformis	7.129747218	-0.231658761
Enterocloster_clostridioformis	0.431201688	1.491984137
Enterocloster_clostridioformis	11.49671804	-0.540169748
Enterocloster_clostridioformis	0.521926273	-1.394528749
Enterocloster_clostridioformis	3.009062608	-0.078173087
Dorea_sp52	33.52740198	0.932178532
Clostridium_spMD294	4.568164812	0.230959642
Enterocloster_clostridioformis	0.647033343	-2.779548138
Dysosmobacter_welbionis	0.429675133	-2.769974814
Enterocloster_clostridioformis	0.381878114	-0.961864801
Enterocloster_clostridioformis	15.1335067	-0.370218516
Enterocloster_clostridioformis	9.245746168	-0.674973313
Enterocloster_clostridioformis	3.460734645	-0.45859458
Enterocloster_clostridioformis	0.758465028	-0.146336215
Enterocloster_clostridioformis	2.977887133	-0.034725137
Dysosmobacter_welbionis	0.323569834	-2.412749696
Clostridium_spMD294	4.588044229	-0.382829135
Acutalibacter_muris	4.069628666	0.328585086
Enterocloster_clostridioformis	0.136537649	0.015996081
Enterocloster_clostridioformis	190.6203318	8.790422738
Schaedlerella_arabinosiphila	0.174397486	-0.292000424
Clostridium_scindens	0.604777029	1.609891685
Schaedlerella_arabinosiphila	0.338370689	0.02022765
Lactococcus_lactis	0.143125333	0.954985144
Schaedlerella_arabinosiphila	0.273250762	-0.418707779
Enterocloster_clostridioformis	3.580720234	0.077109793
Clostridioides_difficile	7.416557561	-0.37322142
Enterocloster_clostridioformis	7.692479263	-5.677465264
Enterocloster_clostridioformis	1.293873332	-0.049572096
Schaedlerella_arabinosiphila	1.835796585	-0.765988564
Dysosmobacter_welbionis	0.17278081	-1.735015364
Enterocloster_clostridioformis	0.192847977	0.526433437
Enterocloster_clostridioformis	36.19006582	-0.392739514
Enterocloster_clostridioformis	15.09411701	-0.514608076
Blautia_pseudococcoides	81.96108775	-0.709693942
Clostridium_scindens	11.85289979	0.7905313
Schaedlerella_arabinosiphila	4.489131674	0.733926789
Enterocloster_clostridioformis	3.520310658	-0.400955324
Enterocloster_clostridioformis	1.70062958	-4.593120288
Enterocloster_clostridioformis	27.11239345	-0.194054176
Enterocloster_clostridioformis	7.257510938	0.829418081
Coprobacillus_cateniformis	11.62125576	0.110628127
Enterocloster_clostridioformis	0.473634493	-2.488553333
Enterocloster_clostridioformis	14.11071794	-0.311048594
Enterocloster_clostridioformis	27.6995296	-0.370107184
Enterocloster_clostridioformis	7.69828963	-0.325027836
Enterocloster_clostridioformis	4.239113705	-0.974282787
Enterocloster_clostridioformis	0.696948384	-0.060762276
Enterocloster_clostridioformis	100.0659228	-0.342726864
Enterocloster_clostridioformis	4.948884215	-0.092861417
Flavonifractor_plautii	213.9568199	-0.628566855
Enterocloster_clostridioformis	22.8706115	0.938355044
Enterocloster_clostridioformis	1.649768435	-4.521271198
Enterocloster_clostridioformis	1.355879169	0.222837934
Enterocloster_clostridioformis	2.171923262	0.798875492
Schaedlerella_arabinosiphila	75.06680922	0.526877195
Enterocloster_clostridioformis	0.148836159	0.833386834
Enterocloster_clostridioformis	25.69911456	-0.47519287
Dorea_sp52	0.330681353	-2.431579527
Enterocloster_clostridioformis	22.97685763	-0.450690878
Schaedlerella_arabinosiphila	8.995529392	0.42756922
Enterocloster_clostridioformis	12.87742278	0.22279106
Enterocloster_clostridioformis	0.294043605	0.035294928
Schaedlerella_arabinosiphila	9.557215945	1.187312066
Enterocloster_clostridioformis	2.091446479	0.641690521
Enterocloster_aldenensis	0.946727471	-0.415967379
Enterocloster_clostridioformis	4.651488449	0.423958472
Enterococcus_avium	0.075119277	0.455736962
Clostridioides_difficile	9.541284174	-0.082654108
Clostridium_scindens	0.726117315	0.556860291
Schaedlerella_arabinosiphila	9.973876592	0.513322313
Enterocloster_aldenensis	19.47091131	0.55312642
Schaedlerella_arabinosiphila	108.4700398	0.751306769
Schaedlerella_arabinosiphila	66.39119181	0.813802658
Dysosmobacter_welbionis	0.379642287	-1.82147799
Enterocloster_clostridioformis	1.840660951	-4.724236803
Enterocloster_clostridioformis	2.348781223	0.661151497
Enterocloster_clostridioformis	0.883212955	-2.405855581
Enterocloster_bolteae	12.57911761	0.113584105
Enterocloster_clostridioformis	5.939790681	0.276274666
Enterocloster_clostridioformis	22.64254175	-0.284015682
Enterocloster_clostridioformis	0.561087263	0.292875109
Blautia_pseudococcoides	3.275617775	-0.101793732
Enterocloster_clostridioformis	0.159019865	0.579251562
Enterocloster_clostridioformis	6.2481733	0.171519296
Enterocloster_clostridioformis	6.329213416	0.05110884
Enterocloster_clostridioformis	15.64034761	-0.626361757
Dysosmobacter_welbionis	0.180611703	-1.801048069
Dorea_sp52	5.484236799	-0.010476904
Enterocloster_clostridioformis	15.59895521	-0.727686361
Schaedlerella_arabinosiphila	1.012073844	0.861887421
Flavonifractor_plautii	1.467145623	-0.114197292
Schaedlerella_arabinosiphila	0.660105579	-0.62128167
Dorea_sp52	4.273864522	0.752502242
Clostridium_spMD294	3.465466586	0.472344317
Anaerostipes_faecis	0.076286452	0.455723496
Enterocloster_clostridioformis	41.68162039	-0.183324735
Enterocloster_clostridioformis	3.243247466	0.030564518
Clostridium_scindens	0.110726281	0.486511207
Coprobacillus_cateniformis	5.051559479	0.853164501
Enterocloster_clostridioformis	3.809016564	-0.150259812
Enterocloster_clostridioformis	0.995442911	-0.402230627
Schaedlerella_arabinosiphila	20.82264373	0.422457232
Guopingia_tenuis	0.345780984	-2.433324282
Dysosmobacter_welbionis	0.399447515	-2.678108177
Enterocloster_clostridioformis	6.200600274	-0.398044042
Eisenbergiella_massiliensis	6.495472316	0.809273367
Hungatella_hathewayi	0.892401773	-3.628430911
Enterocloster_clostridioformis	0.896590795	0.409111488
Clostridium_scindens	0.076286452	0.455723496
Clostridium_spMD294	2.22101975	1.260325445
Enterocloster_clostridioformis	0.546291512	0.390672874
Enterocloster_clostridioformis	0.924210305	0.09292629
Clostridium_scindens	14.47184412	0.585818139
Clostridium_scindens	3.801640772	0.258765802
Dorea_sp52	0.295842199	1.660410869
Dorea_sp52	5.94714769	-0.598239563
Coprobacillus_cateniformis	12.34100512	-0.009117537
Enterocloster_clostridioformis	5.286883294	0.02585224
Enterocloster_clostridioformis	15.46316089	-0.371085983
Enterocloster_clostridioformis	1.224751511	-0.905294641
Flavonifractor_plautii	1.843031486	0.403909538
Enterocloster_clostridioformis	39.853289	-0.586179708
Flavonifractor_plautii	0.939816405	-1.244362191
Enterocloster_clostridioformis	1.371323681	-0.284735045
Enterocloster_clostridioformis	22.29150115	0.126076496
Enterocloster_clostridioformis	24.58379102	-0.571571051
Enterocloster_clostridioformis	32.90707179	-0.313462025
Enterocloster_clostridioformis	3.439442095	-1.033030456
Anaerotruncus_spG3	22.05870973	0.291387492
Dysosmobacter_welbionis	0.458036031	-2.888773471
Clostridium_scindens	0.101520258	0.686165983
Clostridium_scindens	5.253755347	0.361247844
Enterocloster_clostridioformis	1.444138782	-1.337749931
Enterocloster_clostridioformis	3.556363057	0.985081149
Schaedlerella_arabinosiphila	13.47747521	-0.735639733
Blautia_pseudococcoides	12.94972742	-0.583491416
Clostridioides_difficile	0.436153893	1.882094411
Lactococcus_lactis	0.154061272	-0.22113008
Anaerotruncus_spG3	1.659925339	0.2605825
Anaerotruncus_spG3	6.464313584	-0.15478599
Acutalibacter_muris	13.78570115	5.901428225
Enterocloster_clostridioformis	17.73786634	-0.024056823
Acutalibacter_muris	0.494082035	1.482458273
Enterocloster_clostridioformis	0.296287365	-0.797381483
Enterocloster_aldenensis	2.708617513	1.208390836
Lactococcus_lactis	0.234903789	-0.931015934
Enterocloster_clostridioformis	2.194044565	-0.130612603
Dysosmobacter_welbionis	25.45748707	-0.608631096
Clostridioides_difficile	4.539730886	0.355904587
Lactococcus_lactis	0.206711417	-1.292001546
Acetatifactor_aquisgranensis	7.169382191	2.793995432
Schaedlerella_arabinosiphila	47.11122106	0.667980639
Schaedlerella_arabinosiphila	3.509767543	0.529001969
Anaerotruncus_spG3	6.562133804	-0.261323762
Enterocloster_clostridioformis	3.724439873	-0.326600449
Enterocloster_clostridioformis	0.468101383	1.144297701
Schaedlerella_arabinosiphila	1.422381299	-0.508036532
Escherichia_coli	0.72636582	2.134047058
Enterocloster_clostridioformis	0.994946381	0.117713
Dorea_sp52	48.00257452	0.528569533
Dorea_sp52	7.682086376	0.075065703
Enterocloster_clostridioformis	6.280591746	-0.71883794
Enterocloster_clostridioformis	0.592180428	1.466031653
Clostridioides_difficile	0.855578217	1.97794461
Enterocloster_clostridioformis	0.795938141	-0.48001237
Enterocloster_clostridioformis	0.424987649	-1.10626143
Enterocloster_clostridioformis	8.412604642	-0.297743147
Enterocloster_clostridioformis	2.43618293	-0.221523943
Enterocloster_clostridioformis	13.27234263	0.117552613
Dorea_sp52	12.79341074	0.075029837
Enterocloster_clostridioformis	5.199563058	-0.024563926
Anaerotruncus_spG3	4.926835008	0.500909295
Enterocloster_clostridioformis	3.704563656	0.125123332
Acutalibacter_muris	23.44734767	0.536043165
Enterocloster_aldenensis	1.482275217	0.751617425
Dorea_sp52	1.331494771	-1.012297197
Flavonifractor_plautii	0.402459455	-1.988565588
Enterocloster_clostridioformis	9.772410265	1.589621885
Enterocloster_aldenensis	41.27989312	0.966248782
Acutalibacter_muris	9.05141685	0.013511093
Blautia_pseudococcoides	48.92097831	-0.720416021
Enterocloster_aldenensis	33.19917447	0.797741643
Faecalibacterium_prausnitzii	52.79580651	2.662184211
Dorea_sp52	0.230698254	1.144275262
Enterocloster_clostridioformis	17.28501827	-0.671220035
Schaedlerella_arabinosiphila	0.365981755	0.150091204
Clostridioides_difficile	2.087230064	-0.032203747
Enterocloster_clostridioformis	3.812966292	-0.022507307
Enterocloster_aldenensis	2.87226797	0.810455606
Schaedlerella_arabinosiphila	0.578293214	1.363777933
Clostridioides_difficile	50.8304441	-0.569392821
Enterocloster_clostridioformis	14.25479079	0.357034228
Enterocloster_clostridioformis	0.954774066	-0.177741864
Enterocloster_clostridioformis	7.425059079	-0.544166138
Enterocloster_clostridioformis	12.94230222	-0.184655023
Enterocloster_clostridioformis	39.43610038	-0.357786238
Enterocloster_clostridioformis	1.128599906	1.282788909
Dysosmobacter_welbionis	0.179074071	-1.735202281
Enterocloster_clostridioformis	0.604652933	1.259362816
Enterocloster_clostridioformis	0.301238763	0.439744295
Enterocloster_clostridioformis	55.7478223	-0.429879768
Enterocloster_lavalensis	42.05273103	0.23524299
Schaedlerella_arabinosiphila	1.042849273	0.915438405
Enterocloster_clostridioformis	4.298495906	0.060776329
Dysosmobacter_welbionis	0.150474589	-1.571818505
Enterocloster_clostridioformis	3.710215447	0.031043431
Dysosmobacter_welbionis	0.22553858	-2.020975151
Enterocloster_clostridioformis	0.076286452	0.455723496
Schaedlerella_arabinosiphila	15.45909768	1.084892387
Lactococcus_lactis	1.166131449	-0.111204979
Enterocloster_aldenensis	350.6831659	1.011284391
Enterocloster_clostridioformis	381.8621816	0.307489865
Blautia_pseudococcoides	107.4094571	-0.860319099
Escherichia_coli	2.509257233	2.24928163
Schaedlerella_arabinosiphila	114.9391753	0.624484697
Schaedlerella_arabinosiphila	47.15403777	0.475816595
Anaerostipes_caccae	2.312385571	-0.124831023
Lactococcus_lactis	0.303984232	-0.010834632
Enterocloster_clostridioformis	0.366065119	0.266313009
Schaedlerella_arabinosiphila	1.018412426	0.076721989
Acutalibacter_muris	17.84638036	4.582593645
Enterocloster_clostridioformis	16.47540405	-0.142825424
Schaedlerella_arabinosiphila	1.77082539	0.344886078
Enterocloster_aldenensis	4.260744979	0.484746903
Enterocloster_clostridioformis	0.192509363	1.229882876
Escherichia_coli	0.855935121	1.64049822
Schaedlerella_arabinosiphila	17.81403378	0.21301458
Clostridioides_difficile	0.755603329	-0.851775126
Clostridioides_difficile	29.87137826	-0.395792185
Blautia_wexlerae	4.256191284	0.67478902
Anaerostipes_faecis	0.246087458	-1.394061473
Enterocloster_clostridioformis	1.402414206	-0.283379476
Enterocloster_clostridioformis	11.48660205	-0.038201865
Anaerotruncus_spG3	0.324677092	1.730272938
Acetatifactor_aquisgranensis	0.112751892	-0.170828426
Enterocloster_aldenensis	10.96732373	1.245187637
Clostridioides_difficile	7.705772097	-0.544495292
Enterocloster_clostridioformis	0.554768644	-0.395031589
Enterocloster_clostridioformis	0.182395056	-0.018267035
Enterocloster_clostridioformis	13.0501491	-0.454719179
Schaedlerella_arabinosiphila	5.122084865	0.010852247
Enterocloster_clostridioformis	24.67304475	0.182782353
Anaerotruncus_spG3	0.406837182	-0.060743624
Enterocloster_clostridioformis	10.08451459	-0.297404672
Flavonifractor_plautii	111.7325415	-0.488469629
Escherichia_coli	0.803037543	0.636881081
Dorea_sp52	2.704131633	-3.153892906
Dysosmobacter_welbionis	0.208292016	-1.719103881
Enterocloster_clostridioformis	1.950173774	0.013818679
Enterocloster_clostridioformis	8.42026605	-0.403154785
Faecalibacterium_prausnitzii	0.887690381	-1.420471822
Clostridium_spMD294	7.803876771	-0.556287831
Enterocloster_clostridioformis	0.681786424	0.091507188
Clostridioides_difficile	11.11338782	-0.066036338
Dysosmobacter_welbionis	0.525568166	-2.729210892
Dorea_sp52	1.918671664	0.719167803
Hungatella_hathewayi	28.31491953	0.043664127
Clostridium_spMD294	4.172917457	-0.243945766
Enterocloster_clostridioformis	4.583546239	-0.167599167
Dysosmobacter_welbionis	0.145005425	-1.495859881
Blautia_pseudococcoides	20.34384834	0.928161559
Enterocloster_clostridioformis	24.75257466	-0.099612781
Coprobacillus_cateniformis	42.21143854	0.04650638
Clostridium_spMD294	1.19044719	0.446395894
Schaedlerella_arabinosiphila	1.097603371	1.319210861
Enterocloster_clostridioformis	4.893973988	0.118870818
Anaerostipes_faecis	0.319270913	-1.200513621
Enterocloster_clostridioformis	8.862027793	-1.327634149
Dysosmobacter_welbionis	0.944290419	-3.826534556
Eisenbergiella_massiliensis	0.474546363	-1.365222004
Enterocloster_clostridioformis	14.96055686	-0.611832163
Enterocloster_clostridioformis	3.751409364	-0.18670581
Enterocloster_clostridioformis	14.14054932	-0.45086103
Blautia_pseudococcoides	8.358721938	0.200740376
Anaerotruncus_spG3	26.37957934	0.502564064
Eisenbergiella_massiliensis	3.71624307	-1.776223106
Lactococcus_lactis	0.105015455	0.69558929
Dysosmobacter_welbionis	0.241137466	-1.85940309
Enterocloster_clostridioformis	81.1735054	-0.461892825
Enterocloster_clostridioformis	1.494516247	0.62116331
Enterocloster_clostridioformis	0.337672654	-0.220344825
Enterocloster_aldenensis	0.604347423	-2.144768179
Clostridium_spMD294	1.532027921	-0.096819717
Dysosmobacter_welbionis	0.387366087	-2.616024757
Enterocloster_clostridioformis	18.28258982	-0.254055937
Enterocloster_clostridioformis	28.53366979	-0.212709342
Hungatella_hathewayi	0.33799935	-0.231328656
Enterocloster_clostridioformis	0.27647539	-0.364609542
Lactococcus_lactis	0.22132372	-0.096203016
Enterocloster_clostridioformis	8.212682633	-0.173557057
Dysosmobacter_welbionis	0.199193638	0.47160291
Clostridioides_difficile	6.975863466	-0.448857831
Enterocloster_clostridioformis	0.220230715	0.608925963
Enterocloster_clostridioformis	4.070804569	0.638922017
Dysosmobacter_welbionis	0.264981318	-2.059861225
Coprobacillus_cateniformis	129.3126041	0.37528592
Enterocloster_clostridioformis	5.299725334	-0.287021
Enterocloster_clostridioformis	33.44461365	0.200352657
Anaerotruncus_spG3	50.99319098	0.124434848
Schaedlerella_arabinosiphila	55.26998732	0.678900286
Enterocloster_clostridioformis	71.79328766	-0.317640076
Enterocloster_clostridioformis	0.532053893	-0.082038207
Anaerotruncus_spG3	0.176079165	0.365499017
Enterocloster_aldenensis	58.21548943	0.925510875
Schaedlerella_arabinosiphila	1.873247731	0.168478055
Clostridioides_difficile	5.892941815	-0.08023821
Enterocloster_clostridioformis	0.151242902	0.280684686
Clostridium_scindens	8.160484709	0.701878956
Enterocloster_clostridioformis	1.129792273	-0.697993035
Schaedlerella_arabinosiphila	1.651071306	-0.230557543
Clostridium_scindens	18.42070312	0.798203328
Clostridioides_difficile	5.168366555	-0.585766194
Eisenbergiella_porci	16.33690262	-1.643320052
Enterocloster_clostridioformis	4.011254481	0.311680565
Schaedlerella_arabinosiphila	0.649090987	0.362777161
Enterocloster_clostridioformis	39.04723834	-0.364076024
Blautia_pseudococcoides	0.406609656	-1.196699074
Blautia_pseudococcoides	40.58096629	-0.600890176
Blautia_pseudococcoides	0.402787987	-0.032378078
Dorea_sp52	0.399227839	1.250648218
Clostridioides_difficile	4.046945402	-0.309942195
Enterocloster_lavalensis	87.30576552	-0.007347595
Enterocloster_clostridioformis	75.24655883	-0.320292921
Enterocloster_clostridioformis	3.060888842	-0.025085572
Flavonifractor_plautii	78.26535461	-0.354374225
Schaedlerella_arabinosiphila	2.959504366	0.17819052
Blautia_pseudococcoides	17.03533229	-0.446032349
Enterocloster_clostridioformis	0.443288317	0.087229118
Enterocloster_clostridioformis	2.524998849	0.313177847
Extibacter_muris	0.653131377	-2.702641444
Clostridium_scindens	3.513286491	0.503771209
Enterocloster_aldenensis	33.04309352	1.131771036
Clostridium_scindens	14.71015018	0.534411688
Enterocloster_clostridioformis	1.45675836	-0.435625878
Schaedlerella_arabinosiphila	0.233095988	-1.305724157
Dorea_sp52	1.5033051	-0.013102992
Dysosmobacter_welbionis	0.398224319	-2.65587134
Enterocloster_clostridioformis	4.535187058	0.448429176
Enterocloster_clostridioformis	1.04214368	-3.911522281
Eisenbergiella_massiliensis	70.47176736	-2.093788231
Enterocloster_clostridioformis	7.869380315	0.022633524
Anaerotruncus_spG3	0.89886823	-0.645703308
Anaerotruncus_spG3	1.519716701	-0.229268888
Anaerotruncus_spG3	1.200346244	0.302974693
Eisenbergiella_massiliensis	47.52922152	-2.14437357
